date,pm25,pm10,o3,no2,so2,co
16-07-2024,81,37,26,5,5,2
15-07-2024,115,31,22,4,12,
14-07-2024,105,71,21,18,7,2
13-07-2024,124,62,23,12,6,3
12-07-2024,95,79,4,24,8,10
11-07-2024,113,36,23,11,5,4
10-07-2024,,51,18,14,3,4
09-07-2024,47,,,,,
08-07-2024,55,35,11,10,4,6
07-07-2024,72,33,16,6,4,4
06-07-2024,74,60,17,9,5,2
05-07-2024,55,56,15,13,5,3
04-07-2024,999,43,15,14,5,6
03-07-2024,,22,13,16,5,8
02-07-2024,114,,,,,
01-07-2024,66,56,8,10,6,1
30-06-2024,60,40,18,13,5,5
29-06-2024,69,39,18,13,5,5
28-06-2024,52,41,19,15,5,6
27-06-2024,65,23,23,6,8,6
26-06-2024,86,32,22,7,7,6
25-06-2024,96,41,26,8,5,7
24-06-2024,122,41,27,7,6,6
23-06-2024,134,52,33,8,5,6
22-06-2024,112,58,34,9,8,5
21-06-2024,110,55,36,16,6,8
20-06-2024,115,44,20,9,5,6
19-06-2024,105,46,14,11,6,4
18-06-2024,109,53,20,6,16,6
17-06-2024,111,62,6,6,4,4
16-06-2024,129,63,12,13,6,6
15-06-2024,117,72,16,9,7,5
14-06-2024,121,66,16,15,7,6
13-06-2024,129,72,14,10,7,5
12-06-2024,132,75,15,12,6,6
11-06-2024,110,87,20,9,5,5
10-06-2024,137,72,24,13,10,13
09-06-2024,141,77,37,26,5,6
08-06-2024,160,59,14,12,5,5
07-06-2024,291,165,28,21,17,5
06-06-2024,146,734,21,25,5,5
05-06-2024,134,93,22,28,10,8
04-06-2024,142,83,23,10,5,8
03-06-2024,141,87,24,17,8,8
02-06-2024,122,80,25,20,9,4
01-06-2024,121,65,24,12,11,7
31-05-2024,142,78,25,9,9,3
30-05-2024,143,90,23,12,5,5
29-05-2024,138,94,25,10,7,3
28-05-2024,148,103,27,16,20,11
27-05-2024,161,95,24,15,7,7
26-05-2024,161,123,33,27,11,10
25-05-2024,143,101,33,26,5,6
24-05-2024,151,70,38,11,7,8
23-05-2024,150,74,32,5,4,8
22-05-2024,149,78,35,5,10,5
21-05-2024,94,77,31,11,6,6
20-05-2024,94,125,21,15,11,12
19-05-2024,104,100,25,13,6,6
18-05-2024,99,116,30,19,6,6
17-05-2024,114,82,20,22,6,7
16-05-2024,80,95,42,26,6,9
15-05-2024,155,73,36,10,4,5
14-05-2024,138,76,20,12,6,1
13-05-2024,135,71,38,18,8,5
12-05-2024,,70,30,17,6,5
11-05-2024,130,,,,,
10-05-2024,144,83,34,11,7,5
09-05-2024,152,93,31,11,7,5
08-05-2024,150,87,44,10,7,6
07-05-2024,126,98,39,10,8,5
06-05-2024,142,79,21,12,16,14
05-05-2024,124,96,40,15,5,6
04-05-2024,149,90,33,20,4,7
03-05-2024,130,96,44,18,5,6
02-05-2024,132,83,41,17,4,5
01-05-2024,133,81,41,12,3,6
30-04-2024,138,97,32,18,5,6
29-04-2024,129,111,11,14,5,4
28-04-2024,147,85,15,18,10,11
27-04-2024,142,95,11,18,7,4
26-04-2024,,102,8,18,6,4
25-04-2024,117,,,,,
24-04-2024,114,67,24,18,5,4
23-04-2024,90,76,16,11,5,4
22-04-2024,89,55,16,16,4,5
21-04-2024,96,56,21,10,7,13
20-04-2024,130,56,16,12,4,6
19-04-2024,101,99,13,15,4,6
18-04-2024,98,69,11,12,4,5
17-04-2024,103,74,11,14,5,5
16-04-2024,77,62,15,12,6,4
15-04-2024,101,52,14,12,7,3
14-04-2024,109,63,14,16,8,4
13-04-2024,106,70,16,10,8,3
12-04-2024,,58,16,10,6,2
11-04-2024,84,,,,,
10-04-2024,108,62,15,11,4,6
09-04-2024,90,69,18,9,6,10
08-04-2024,98,67,15,13,3,6
07-04-2024,73,62,12,22,4,6
06-04-2024,,51,15,12,3,4
05-04-2024,93,,,,,
04-04-2024,122,61,15,12,11,1
03-04-2024,99,78,15,21,6,1
02-04-2024,,70,16,10,8,2
01-04-2024,90,,,,,
31-03-2024,80,73,16,11,7,2
30-03-2024,79,68,14,13,6,2
29-03-2024,106,67,7,29,4,4
28-03-2024,105,71,17,8,5,4
27-03-2024,120,73,16,8,11,9
26-03-2024,121,77,19,12,3,6
25-03-2024,100,79,17,11,1,7
24-03-2024,116,58,17,8,4,5
23-03-2024,131,77,17,10,5,5
22-03-2024,124,84,20,26,6,5
21-03-2024,131,76,19,19,9,8
20-03-2024,81,74,21,12,8,4
19-03-2024,106,50,22,16,10,2
18-03-2024,96,68,16,21,8,2
17-03-2024,92,65,16,18,5,2
16-03-2024,92,59,16,17,5,2
15-03-2024,,64,16,23,6,4
14-03-2024,111,,,,,
13-03-2024,106,64,14,18,6,3
12-03-2024,135,83,16,18,5,4
11-03-2024,105,74,21,16,1,3
10-03-2024,105,64,17,9,6,3
09-03-2024,105,66,17,21,7,3
08-03-2024,100,65,19,20,6,4
07-03-2024,115,60,18,18,7,2
06-03-2024,98,66,19,17,5,3
05-03-2024,91,62,19,18,6,2
04-03-2024,79,62,19,19,4,3
03-03-2024,81,52,20,21,4,3
02-03-2024,74,52,10,17,4,4
01-03-2024,95,38,13,11,5,4
29-02-2024,101,60,20,11,13,4
28-02-2024,49,61,19,22,3,6
27-02-2024,100,34,20,2,26,20
26-02-2024,103,60,21,14,3,4
25-02-2024,98,59,20,11,3,4
24-02-2024,106,55,22,10,2,3
23-02-2024,88,59,19,13,3,5
22-02-2024,138,59,18,16,3,3
