city_id,date,temperature,humidity,wind_speed,precipitation
1,2024-04-21,30.0,27.0,12.1,0.0
1,2024-04-22,30.2,27.1,10.6,0.2
1,2024-04-23,29.3,28.3,8.8,0.0
1,2024-04-24,29.0,30.3,10.8,0.0
1,2024-04-25,29.4,26.5,10.8,0.0
1,2024-04-26,31.6,23.8,10.5,0.0
1,2024-04-27,31.5,28.6,14.8,0.0
1,2024-04-28,30.1,29.5,9.3,0.0
1,2024-04-29,30.3,28.1,10.9,0.0
1,2024-04-30,28.7,28.2,13.3,0.0
1,2024-05-01,26.4,23.8,16.0,0.0
1,2024-05-02,27.1,27.5,12.8,0.0
1,2024-05-03,29.5,23.6,12.6,0.0
1,2024-05-04,32.2,20.7,11.3,0.0
1,2024-05-05,32.2,22.3,11.1,0.0
1,2024-05-06,33.2,22.9,12.9,0.0
1,2024-05-07,33.6,25.3,6.5,0.0
1,2024-05-08,32.6,39.0,12.8,0.0
1,2024-05-09,32.4,37.2,14.1,0.1
1,2024-05-10,31.6,44.0,11.9,0.4
1,2024-05-11,31.3,45.4,8.1,0.8
1,2024-05-12,32.1,38.0,9.8,0.0
1,2024-05-13,33.1,28.3,9.5,0.0
1,2024-05-14,32.9,20.4,9.8,0.0
1,2024-05-15,33.4,21.4,9.6,0.0
1,2024-05-16,33.9,19.8,10.1,0.0
1,2024-05-17,35.8,19.4,11.5,0.0
1,2024-05-18,36.7,20.0,11.6,0.0
1,2024-05-19,36.8,16.5,13.6,0.0
1,2024-05-20,36.2,18.9,11.4,0.0
1,2024-05-21,34.8,27.5,9.5,0.0
1,2024-05-22,35.3,35.6,14.5,0.0
1,2024-05-23,36.0,34.5,13.6,0.1
1,2024-05-24,35.8,35.5,12.0,0.0
1,2024-05-25,37.4,27.2,12.3,0.0
1,2024-05-26,37.9,17.8,12.3,0.0
1,2024-05-27,37.8,19.6,10.5,0.0
1,2024-05-28,37.4,13.8,8.9,0.0
1,2024-05-29,38.6,17.4,9.4,0.0
1,2024-05-30,38.9,16.1,14.3,0.0
1,2024-05-31,37.0,13.7,10.9,0.0
1,2024-06-01,37.3,17.5,14.3,0.0
1,2024-06-02,36.2,25.7,10.5,0.0
1,2024-06-03,37.2,24.4,14.4,0.0
1,2024-06-04,36.9,18.6,11.9,0.0
1,2024-06-05,36.6,22.4,14.7,0.0
1,2024-06-06,34.6,29.0,11.4,0.0
1,2024-06-07,34.9,30.5,14.0,0.1
1,2024-06-08,34.7,27.0,14.7,0.0
1,2024-06-09,35.1,22.5,13.2,0.0
1,2024-06-10,35.7,18.5,13.0,0.0
1,2024-06-11,36.0,19.5,10.8,0.0
1,2024-06-12,36.9,17.5,12.1,0.0
1,2024-06-13,37.6,19.6,16.7,0.0
1,2024-06-14,37.5,26.9,21.0,0.0
1,2024-06-15,37.7,26.7,18.6,0.0
1,2024-06-16,38.3,25.8,17.1,0.0
1,2024-06-17,39.1,24.0,18.8,0.0
1,2024-06-18,38.9,24.4,19.1,0.0
1,2024-06-19,37.5,32.8,18.8,0.4
1,2024-06-20,33.9,44.1,8.1,2.2
1,2024-06-21,32.5,51.8,9.1,3.9
1,2024-06-22,33.4,51.2,6.7,0.0
1,2024-06-23,34.7,50.3,9.4,0.0
1,2024-06-24,34.4,52.8,8.5,0.3
1,2024-06-25,33.4,59.7,8.1,1.2
1,2024-06-26,31.2,71.8,10.9,7.1
1,2024-06-27,28.7,81.1,14.2,7.3
1,2024-06-28,28.5,82.0,9.6,7.2
1,2024-06-29,29.5,78.7,6.5,16.0
1,2024-06-30,30.8,75.1,5.1,8.4
1,2024-07-01,30.4,77.9,6.5,14.2
1,2024-07-02,29.4,82.1,7.8,15.1
1,2024-07-03,29.7,81.5,7.4,4.9
1,2024-07-04,28.2,82.8,8.6,12.9
1,2024-07-05,27.9,84.0,9.7,2.0
1,2024-07-06,28.8,79.3,9.0,1.0
1,2024-07-07,28.6,76.7,6.4,0.0
1,2024-07-08,28.9,75.7,7.1,0.3
1,2024-07-09,29.3,80.5,7.2,15.5
1,2024-07-10,30.3,79.0,5.7,6.9
1,2024-07-11,31.6,74.3,8.4,0.9
1,2024-07-12,30.6,72.8,8.1,12.9
1,2024-07-13,29.8,77.8,4.6,8.9
1,2024-07-14,31.2,72.0,4.2,0.1
1,2024-07-15,30.3,75.4,10.5,1.7
1,2024-07-16,30.8,77.3,10.4,24.6
1,2024-07-17,31.3,75.1,10.5,0.1
1,2024-07-18,31.3,76.2,7.3,7.2
1,2024-07-19,30.8,76.3,8.2,0.6
1,2024-07-20,31.3,73.5,8.7,0.0
1,2024-07-21,31.3,76.0,9.8,1.5
1,2024-07-22,31.0,77.3,8.4,1.7
1,2024-07-23,30.4,79.6,5.0,5.6
1,2024-07-24,30.1,79.3,6.0,7.0
1,2024-07-25,31.2,74.2,4.1,0.4
1,2024-07-26,30.2,79.9,5.5,5.5
1,2024-07-27,30.8,78.8,5.1,1.6
1,2024-07-28,31.9,74.1,9.7,2.0
1,2024-07-29,32.4,69.0,12.3,0.3
1,2024-07-30,33.4,66.4,10.5,0.0
1,2024-07-31,31.4,76.7,6.6,33.8
1,2024-08-01,28.4,84.1,5.2,41.8
1,2024-08-02,28.8,81.8,11.4,4.6
1,2024-08-03,29.0,81.7,13.7,1.0
1,2024-08-04,29.9,73.5,16.7,0.2
1,2024-08-05,29.3,75.2,21.8,1.1
1,2024-08-06,29.2,75.5,11.3,0.4
1,2024-08-07,27.5,85.0,6.3,17.2
1,2024-08-08,27.9,85.0,7.0,11.8
1,2024-08-09,27.9,86.0,6.3,36.2
1,2024-08-10,27.7,86.8,5.7,16.5
1,2024-08-11,27.4,87.8,7.2,18.6
1,2024-08-12,27.0,89.6,8.1,9.8
1,2024-08-13,27.5,88.3,9.5,7.7
1,2024-08-14,28.2,87.5,7.5,2.9
1,2024-08-15,28.6,85.9,9.2,9.1
1,2024-08-16,28.0,86.5,11.0,14.3
1,2024-08-17,28.6,85.2,5.3,6.6
1,2024-08-18,29.1,82.6,8.3,5.0
1,2024-08-19,29.2,80.3,7.8,0.6
1,2024-08-20,28.3,84.8,4.8,22.7
1,2024-08-21,28.5,83.8,5.4,2.7
1,2024-08-22,28.5,83.5,5.5,4.6
1,2024-08-23,27.9,84.2,5.9,1.6
1,2024-08-24,28.5,83.5,6.1,7.1
1,2024-08-25,28.9,78.7,15.8,15.0
1,2024-08-26,28.6,80.1,15.5,2.9
1,2024-08-27,27.6,84.0,17.3,14.8
1,2024-08-28,27.0,86.2,10.9,9.1
1,2024-08-29,27.0,86.8,10.8,31.4
1,2024-08-30,27.9,85.9,5.9,2.6
1,2024-08-31,29.3,78.5,8.0,0.0
1,2024-09-01,29.6,77.2,7.5,0.0
1,2024-09-02,27.9,83.6,10.5,6.9
1,2024-09-03,27.4,85.5,9.4,24.9
1,2024-09-04,27.2,86.0,5.6,0.3
1,2024-09-05,27.4,85.1,3.7,1.4
1,2024-09-06,26.6,88.2,6.7,11.6
1,2024-09-07,26.9,87.7,4.6,15.0
1,2024-09-08,27.7,87.6,5.0,9.7
1,2024-09-09,28.4,82.0,5.8,3.3
1,2024-09-10,27.0,89.1,3.8,22.4
1,2024-09-11,27.4,89.2,6.2,18.7
1,2024-09-12,25.7,90.6,16.6,87.0
1,2024-09-13,25.5,89.2,12.5,62.7
1,2024-09-14,25.9,84.8,9.7,5.6
1,2024-09-15,26.4,80.2,10.0,1.3
1,2024-09-16,27.1,74.1,11.3,0.0
1,2024-09-17,27.5,76.2,6.4,0.0
1,2024-09-18,25.3,84.2,11.3,25.4
1,2024-09-19,26.3,84.1,11.5,3.0
1,2024-09-20,27.6,80.0,6.7,0.0
1,2024-09-21,28.4,77.3,3.7,0.6
1,2024-09-22,29.0,78.1,5.4,0.0
1,2024-09-23,29.0,77.6,6.5,0.0
1,2024-09-24,29.3,78.4,3.6,0.0
1,2024-09-25,29.2,80.7,10.7,0.6
1,2024-09-26,28.0,81.5,10.4,0.7
1,2024-09-27,27.5,80.2,9.0,0.2
1,2024-09-28,26.5,80.2,7.1,0.0
1,2024-09-29,26.5,82.4,6.5,0.1
